0.5,13.06,14.26,41.3
1,18.24,21.09,50.00
1.5,23.42,27.92,58.70
2,28.60,34.75,67.40
2.5,33.78,41.58,76.10
3,38.96,48.41,84.80
3.5,44.14,55.24,93.50
4,49.32,62.07,102.20
4.5,54.50,68.90,110.90
5,59.68,75.73,119.60
5.5,64.86,82.56,128.30
6,70.04,89.39,137.00
6.5,75.22,96.22,145.70
7,80.40,103.05,154.40
7.5,85.58,109.88,163.10
8,90.76,116.71,171.80
8.5,95.94,123.54,180.50
9,101.12,130.37,189.20
9.5,106.30,137.20,197.90
10,111.48,144.03,206.60
10.5,116.66,150.86,215.30
11,121.84,157.69,224.00
11.5,127.02,164.52,232.70
12,132.20,171.35,241.40
12.5,137.38,178.18,250.10
13,142.56,185.01,258.80
13.5,147.74,191.84,267.50
14,152.92,198.67,276.20
14.5,158.10,205.50,284.90
15,163.28,212.33,293.60
15.5,168.46,219.16,302.30
16,173.64,225.99,311.00
16.5,178.82,232.82,319.70
17,184.00,239.65,328.40
17.5,189.18,246.48,337.10
18,194.36,253.31,345.80
18.5,199.54,260.14,354.50
19,204.72,266.97,363.20
19.5,209.90,273.80,371.90
20,215.08,280.63,380.60
